AuthorID_NEW;AuthorID_TSU;Experience;Subdivision;PublicationsID
1;4;17;Институт биологии, экологии, почвоведения, сельского и лесного хозяйства (Биологический институт);166774,136300,105533
2;5;23;Институт биологии, экологии, почвоведения, сельского и лесного хозяйства (Биологический институт);183808,183238,180396,180395,179416,180284,176071,174756,173153,173111,173070,172273,172272,172244,168798,169754,169632,167212,148408,148407,139287,122319,132363,113195,113185,113172,113155,111732,111594,116927,116922
3;7;21;Геолого-географический факультет;178611,121524
4;8;10;Геолого-географический факультет;185878,182617,176976,176123,172599,171087,162432,162392,162351,148664,141732,122068,122066
5;10;14;Геолого-географический факультет;177380,177011,176792,176791,176504,173149,171971,168862,168538,166576,163391,163087,163086,171489,171488,171487,162372,162340,162336,160366,149878,148846,148655,148519,146876,140436,140634,129143,122957,122955,122097,122096,122094,115055,110895,110893,110010
6;12;18;Геолого-географический факультет;168974,168825,150062,110144
7;13;20;Геолого-географический факультет;185662,168857,160368,160262,149879,149626,141880,141879,128919,121935,110326
8;17;12;Факультет исторических и политических наук;184694,176679,175406,171965,168767,168734,152045,151956,146650,142040,138501,136154,125660
9;18;19;Физический факультет;184257,184256,180782,180779,133839,131656
10;21;12;Физический факультет;178938,174755,174752,174750,167444,167268,167267,156021,156003,155669,146177,143940,143938,143934,144333,136307,136282,126779,126777,126766,126765,123895,123634,120689,120684,119715,118844,118831,118175,118158,118153,118138,118133,118131,115448,115037,115036,115035,109244,109239,109019,109012,109010,109005,97430
11;22;12;Физический факультет;162396,151853,118243,121237
12;27;15;Радиофизический факультет;154868,151520,151502,151499,151494,151498,151495,151500,151496,122250,122198,120126,119171,151497,112141,102650,102635,92040
13;28;12;Радиофизический факультет;174973,172146,163008,157084,157082,157078,157027,154911,154903,154902,154900,154874,151376,151373,150683,142413,142354,140236,140235,139166,139162,138375,130661,129434,128889,128879,128660,128659,125581,122098,122093,122084,120590,120420,120315,119947,119578,119576,119574,119572,118293,118114,114027,113933,113911,112827,112820,112678,112136,112134,103827,103636,102649,102647,102646,102644,93314,92351
14;29;16;Радиофизический факультет;160632,154124,120924,114755,113266,111293,107557,107097,107096,107035,106657,106301,103079,102344,102343,102172,100325,101095,101094,98827,96216,95394,95389,95342,95304
15;30;14;Радиофизический факультет;184535,184925,184647,184629,164578,164577,157502,151644,151463,141967,141634,141619,140614,140584,140541,140522,140232,140231,131408,131110,130833,127613,127470,124799,122548,122536,122533,122522,120062,119337,109486,101275,98127,98104
16;31;15;Радиофизический факультет;186150,184892,184883,184632,182803,182798,182797,182242,174809,174659,174640,174214,174210,173241,169892,166972,166345,165404,164829,163311,160373,171256,167004,166975,166335,164669,164579,161635,157500,155224,154956,152110,152097,171254,158146,151422,149209,149208,147830,143798,171289,130191,156096
17;32;15;Радиофизический факультет;112704
18;33;10;Радиофизический факультет;186316,184868,184755,182007,181263,180886,180423,177697,177695,177691,177673,177573,177568,177549,177548,172340,172255,172218,170089,170083,168303,167907,164802,164790,177739,177728,177725,161975,161953,161414,160741,160494,160493,160487,160485,160309,156287,155698,155697,150723,149196,147954,147952,139644,134796,130893,130892,126073,122686,113624,113041,112706
19;34;14;Радиофизический факультет;170202,164641,164580,164579,160345,160263,157500,152443,150771,150589,149196,147839,147830,145967,144799,130897,130893,130891,130575,130571,124758,112797
20;39;12;Институт экономики и менеджмента;171897,163246,160261,153535,152630,148028,145094,142122,139535,139531,135609,142511,150772,116527,114871,150802,150803,150769
21;44;11;Физико-технический факультет;186972,185046,184936,180486,176493,176485,176415,176411,176407,176163,172269,172057,173072,170316,170016,170011,170000,169999,169994,169992,169988,169987,169985,169984,169983,169657,169656,169655,169654,167772,167769,161444,160877,160876,160874,160873,160852,160851,160850,160845,160844,151736,150011,149637,149576,149574,149569,149512,149510,149508,149506,149505,149500,149036,148529,146866,146863,146862,146861,146858,146857,146856,146513,146512,146511,146510,146509,144054,141485,140069,140065,140061,140024,138894,138768,138765,138763,136284,135973,135958,135955,132317,132316,130806,130273,129299,129298,129297,129296,129294,129293,128417,128391,128315,128314,128313,128312,128311,128250,127500,126025,126024,126020,125914,123492,122671,122264,118538,118449,118448,118444,118443,118442,117316,116429,113799,113875,113874,108736,108668,107864,107862,107830,107829,106833
22;46;41;Физико-технический факультет;162239,154226
23;47;12;Институт прикладной математики и компьютерных наук;184019,183366,181700,181699,179431,178088,175234,170970,170916,165420,163634,160550,157408,157407,155146,154191,153976,153619,149102,148062,145625,145593,145585,145417,144653,163244,127788,121010,120999,120956,120947,120941,120927,113006,112285,112124,112121,112100,112092
24;48;43;Институт прикладной математики и компьютерных наук;169789,103697,100566,100539
25;51;13;Философский факультет;170389,171235,163280,160793,156007,153338,153334,153176,153141,151402,142393,136753,119281,116899,99537
26;57;11;Филологический факультет;172223,177990,177989
27;60;15;Филологический факультет;176601,170393,164140,171235,163280,154280,154279,153335,153334,153176,152420,122736,121612,119966,114820,112969
28;62;16;Философский факультет;135186,132427,132081,131884,123349,118337,118246,117396,115352,111264,111263,100338,178079
29;69;10;Институт искусств и культуры;162706,151413,140206,110405,92191
30;72;14;Институт искусств и культуры;115740,101013,92886
31;73;11;Институт искусств и культуры;164171,137416,132179,116251
32;75;12;Институт искусств и культуры;176857,161087,164171,144269,126244,123640,120569,120563,105034,103474,102484,92859
33;76;11;Институт искусств и культуры;121029,121028,135174
34;83;15;Институт экономики и менеджмента;173177,172145,163913,154537,154003,152046,151999,151375,152051,152050,152038,152037,152008,150168,142414,152041,152040,152039,128062,126320,124770,117639,110604,110298,110194,110140,109664
35;86;21;Факультет журналистики;99490,98989
36;88;39;Институт биологии, экологии, почвоведения, сельского и лесного хозяйства (Биологический институт);184289,184287,183411,183393,182455,176294,180025,175291,174592,171719,169544,167130,167063,166997,166124,159213,157314,156984,152645,148260,148219,148203,146517,142457,140413,140412,139831,139693,139657,138200,135856,135161,132915,132778,132446,128108,124466,121179,119411,119408,119368,118593,115698,112803,112540,109737
