Publication_ID;Year
96351;2011
132328;2016
111001;2014
118928;2015
176999;2022
129120;2015
117242;2015
168133;2020
134908;2017
143236;2016
140698;2016
113591;2015
148101;2018
125402;2016
168369;2020
114624;2014
104824;2013
182738;2022
101103;2013
105506;2013
154294;2019
126843;2016
114451;2015
161677;2019
112666;2014
120707;2015
170627;2016
151251;2016
125153;2016
123818;2015
183551;2021
107983;2014
141946;2017
163492;2016
185388;2022
174101;2021
174616;2021
153328;2019
103912;2013
124368;2016
129383;2016
133570;2016
139376;2017
183190;2022
110231;2014
91480;2011
173444;2021
166330;2020
122809;2015
132689;2009
152792;2019
147217;2018
145534;2018
117817;2015
124694;2016
156147;2019
183620;2022
163154;2016
139492;2017
145315;2018
104219;2013
172300;2020
166644;2021
123662;2012
169811;2019
120640;2015
137379;2017
161153;2019
118210;2014
117993;2015
169316;2020
169270;2020
97703;2012
185775;2022
161067;2019
148772;2018
165450;2020
146680;2018
176102;2020
163137;2019
179349;2021
181225;2022
153209;2019
178451;2021
151449;2018
167923;2020
114684;2014
166612;2020
176316;2021
152581;2019
186504;2022
127439;2016
130168;2016
180058;2022
149297;2018
135198;2017
187365;2023
119930;2015
183009;2022
136000;2017
103580;2013
139015;2017
119867;2015
155414;2019
154597;2019
179552;2021
119914;2015
105618;2013
130002;2016
161172;2019
112152;2013
94252;2012
128304;2016
166928;2019
137017;2016
129633;2016
139697;2017
107930;2014
109719;2014
169252;2020
176264;2021
105778;2013
154804;2018
116119;2015
180942;2020
103854;2013
105915;2013
143999;2016
153324;2019
177976;2022
156315;2019
150195;2018
115065;2010
165431;2020
134479;2017
163098;2019
183664;2022
136933;2016
132946;2016
100700;2008
135423;2014
174769;2022
141613;2017
184070;2022
148231;2019
154788;2019
156707;2019
138094;2017
116884;2013
154900;2019
149988;2017
154250;2019
108019;2014
97416;2012
181669;2022
176077;2021
129143;2016
184213;2022
155464;2019
100707;2008
160776;2019
133567;2017
110954;2014
109619;2014
168230;2020
157213;2019
96734;2011
184350;2022
115437;2015
109931;2014
116589;2015
106582;2013
152874;2019
123445;2015
177967;2021
169543;2020
177387;2021
143700;2018
115681;2012
145344;2018
174655;2021
139256;2017
164558;2020
129591;2016
107599;2010
132618;2016
185608;2022
161297;2019
155917;2019
127902;2016
135010;2014
121877;2015
157381;2020
117332;2015
131739;2016
180928;2022
163148;2020
120606;2015
138679;2017
133615;2016
169267;2020
149207;2018
185157;2022
140645;2017
181286;2022
184729;2022
134562;2012
146521;2017
92469;2011
186486;2023
155551;2019
122810;2015
106139;2013
176248;2021
147568;2018
171029;2021
92490;2011
167180;2020
113024;2015
114392;2014
142755;2016
152535;2019
150778;2016
144741;2018
100854;2013
146837;2018
108904;2014
125996;2016
154464;2019
149306;2018
176303;2018
120559;2015
173008;2021
145139;2018
111124;2009
176572;2021
150604;2018
139607;2017
175445;2021
134061;2016
130071;2016
155748;2019
95943;2011
146078;2018
136203;2017
118120;2015
135354;2017
184153;2022
112436;2014
108063;2014
129468;2016
131219;2016
93301;2011
165894;2020
169748;2020
166794;2021
121524;2015
126945;2016
173357;2021
110691;2010
181851;2022
167551;2020
183480;2022
160730;2019
130017;2016
167013;2020
148032;2018
174316;2021
110366;2014
176396;2021
140587;2017
113668;2014
164287;2019
186309;2023
97883;2011
138019;2013
103519;2013
135948;2017
173725;2021
135237;2017
153713;2019
167267;2020
110692;2010
183237;2022
98588;2012
122048;2015
96650;2011
135538;2014
141157;2017
161138;2019
139788;2017
182100;2022
171646;2021
129947;2016
140989;2017
93805;2011
181744;2023
112315;2014
156805;2020
112778;2014
157314;2019
182074;2019
162828;2020
151625;2018
179256;2021
139698;2018
149284;2018
160386;2019
142941;2017
178709;2021
182430;2022
163093;2020
131935;2016
155915;2019
130435;2016
127041;2016
146751;2018
125940;2017
176073;2021
153359;2019
150779;2019
148393;2018
105857;2013
123527;2015
179478;2019
127637;2015
131337;2016
126787;2016
123414;2015
121552;2015
115951;2015
166396;2020
122192;2015
124470;2015
136310;2017
185329;2022
182221;2022
119808;2015
142257;2018
129500;2016
139588;2017
142508;2018
136516;2017
144105;2018
119322;2015
185523;2022
183518;2022
176490;2021
182578;2022
129030;2016
137029;2014
123386;2015
101315;2013
107372;2014
100609;2012
113073;2014
144967;2018
131307;2016
91689;2011
169921;2020
109802;2014
140051;2017
123249;2015
122093;2015
100141;2012
117866;2015
164773;2020
145003;2018
125066;2016
115876;2014
177009;2021
163432;2020
146392;2018
95940;2011
92773;2011
185326;2022
183395;2022
154295;2019
138148;2016
146525;2018
163224;2019
99296;2012
153715;2019
121911;2015
120850;2015
117085;2013
143890;2018
141403;2017
126733;2014
160683;2019
153352;2018
118909;2015
167075;2020
153259;2019
149205;2018
143297;2013
146375;2018
128461;2016
127472;2016
161868;2019
128392;2016
113041;2014
162517;2019
144784;2018
118662;2015
151817;2018
145582;2018
183107;2022
131123;2014
118221;2015
152832;2019
108514;2014
138339;2017
181689;2022
128395;2016
134012;2013
184133;2022
121487;2015
126124;2016
128228;2016
183341;2023
139943;2017
181207;2022
178984;2021
173733;2021
118858;2015
183716;2022
151301;2018
108300;2014
149365;2018
156106;2019
120928;2015
145399;2018
186046;2022
111619;2014
99514;2013
176071;2021
146804;2018
137384;2017
139227;2017
167299;2020
173025;2021
112390;2014
118933;2015
184530;2022
126419;2016
148300;2018
128419;2016
125428;2016
179986;2022
118849;2015
151317;2016
167505;2020
131815;2016
143911;2018
163189;2020
165316;2020
129858;2016
179431;2022
144399;2017
