SubdivisionName;SubdivisionID
Институт биологии, экологии, почвоведения, сельского и лесного хозяйства (Биологический институт);1
Геолого-географический факультет;2
Факультет исторических и политических наук;3
Физический факультет;4
Радиофизический факультет;5
Институт экономики и менеджмента;6
Физико-технический факультет;7
Институт прикладной математики и компьютерных наук;8
Философский факультет;9
Филологический факультет;10
Институт искусств и культуры;11
Факультет журналистики;12
None;13
Факультет инновационных технологий;14
Факультет психологии;15
Административная часть;16
Научное управление;17
"Обособленное структурное подразделение ""Сибирский физико-технический институт""";18
Механико-математический факультет;19
Химический факультет;20
Факультет физической культуры;21
"Центр исследований и разработок ""Перспективные технологии в микроэлектронике""";22
Сибирский ботанический сад Томского государственного университета;23
управление нового набора;24
Факультет иностранных языков;25
центр общественно-профессиональной и международной аккредитации образовательных программ;26
Юридический институт;27
Новосибирский юридический институт(филиал)Томского государственного университета;28
"научно-образовательный центр ""Высшая ИТ школа""";29
Институт дистанционного образования;30
"Обособленное структурное подразделение ""Научно-исследовательский институт биологии и биофизики Томского государственного университета""";31
Управление подготовки и научной аттестации кадров высшей квалификации;32
Научная библиотека;33
Управление инновациями в сфере науки, техники и технологий;34
Управление цифровых решений;35
Военный учебный центр при НИ ТГУ;36
Хозяйственная часть;37
Институт образования ТГУ;38
Офис стратегического управления;39
учебное управление;40
Управление персонала;41
Ремонтно-строительное управление;42
Издательство ТГУ;43
Управление информационной политики;44
Учебная часть;45
Центр развития науки, технологий и образования в области обороны и обеспечения безопасности государства;46
Управление информационно-телекоммуникационной инфраструктуры;47
Управление по сетевой информационной деятельности;48
Испытательный центр «Томский региональный центр коллективного пользования»;49
Информационно-аналитический центр;50
Институт «Умные материалы и технологии»;51
НОЦ «Сибирский центр промышленного дизайна и прототипирования»;52
центр развития качества образования;53
"научно-образовательный центр ""Межкультурная коммуникация и кроссдисциплинарные исследования""";54
научно-образовательный центр «Материалы и технологии космического применения»;55
"НОЦ ""Онлайн-платформы в языковом образовании""";56
Суперкомпьютерный центр;57
Сибирский институт будущего;58
управление музейной деятельностью;59
"Научно-образовательный центр Передовая инженерная школа ""Агробиотек""";60
Межрегиональный центр дополнительного профессионального образования и содействия занятости ТГУ;61
Производственно-экономическая служба;62
управление международных связей;63
Центр довузовской подготовки;64
