author_id;publication_id
2;180396,173111,172273,132363,113195,113185,113172,113155,111594,116927
3;121524
4;185878,182617,176976,176123,172599,162432,162351,148664,122068,122066
5;168862,168538,163391,163086,171488,171487,149878,148846,148655,129143,122957,122955,122096,122094,110895
6;168974,110144
7;168857,160368,149626,141880,121935
8;171965,152045,151956,146650,138501,136154
9;184257,184256,180779,131656
10;174750,167444,167268,144333,136307,136282,126779,126777,126766,126765,123895,120689,120684,119715,118844,118831,118175,118153,118133,118131,115448,115036,109244,109239,109012,109005
11;151853,118243,121237
12;154868,151499,151494,151498,151495,122250,120126,112141,102650,102635,92040
13;174973,163008,157084,157027,154902,151376,140236,140235,139166,138375,129434,128660,128659,125581,122093,122084,120590,120420,120315,119947,119578,119572,114027,112678,112134,103827,103636,102649,102644,92351
14;120924,114755,111293,107557,107035,103079,102344,102343,102172,101095,101094,98827,96216,95394,95389,95304
15;184925,184647,164578,141967,141634,141619,140614,140541,140522,140232,140231,131408,131110,127613,127470,124799,122548,122522,120062,119337,101275,98127,98104
16;186150,184883,182803,182797,174214,174210,173241,166345,164829,154956,171289,130191
18;184868,177697,177695,177549,172218,170089,167907,164790,177728,177725,160493,160485,155698,150723,147954,130893,130892,126073,122686,113624,113041
19;160263,150771,147839,145967,144799,130893,130575,112797
20;148028,142122,139531,135609,116527,114871,150802,150803,150769
21;180486,176485,176163,170011,169999,169994,169992,169987,169655,167769,160876,160852,160845,149508,149505,149500,146863,146862,146861,146856,146509,141485,140069,140065,140024,138768,138763,135973,135958,135955,132316,130273,129299,129298,129297,129294,129293,128417,128391,128315,128314,128313,128312,128311,127500,126025,126020,125914,123492,122264,118538,118449,118444,118443,118442,117316,116429,113875,113874,108736,107864,106833
23;183366,165420,163634,160550,154191,145585,163244,127788,121010,120999,120956,120947,120941,120927,112285,112124,112100,112092
24;100566,100539
25;171235,160793,156007,153338,153334,136753,119281,99537
26;177990,177989
27;176601,171235,153334,122736,121612,119966,112969
28;135186,132081,123349,117396,111263,100338
29;162706,151413,140206,92191
31;137416,132179
32;176857,161087,126244,123640,120569,120563,105034,102484,92859
33;121029,121028,135174
34;163913,154537,152050,152037,152041,126320,124770,117639,110194,109664
35;99490,98989
36;183411,183393,182455,176294,171719,167063,166997,159213,148260,142457,140413,140412,139831,139693,138200,135856,135161,132778,124466,121179,118593,115698,112803,112540,109737
37;185620,184025,175873,175870,168111,153415,152354,149560,149132,149050,148906,148576,146569,143309,143308,140969,140928,133217,126137,124147,124146,117924,117102,117095,117094,117093,117092,115403,115402,115401,113804,113772,113163,112919,112915,112510,108415,101773,101772,101758,99622,95305
38;184083,177037,177028,176343,174571,174329,178858,168745,168538,165379,164128,149878,148655,146877,140861,140728,140362,140036,139145,136695,130996,129723,129143,128650,128534,126040,125994,122346,122344,122341,122338,120714,115945,111128,110007,109802,109447,109445
39;183411,179531,179054,174213,167080,167061,167029,166160,162897,150540,148230,147017,142455,141538,141537,140414,139845,139824,138161,135849,135833,132405,128103,124511,124507,119403,119391,119345,119339,119324,119323,119322,116804,112540,112457,112451
40;169724,162646,143677,143358,140051,133917,129143,127129,125219,131989,117583,115400,115395,109615,109120,109118,109094,108446,108342,106810,98707
41;133445,126603,115979,108673,106705,106715,105248,106549,105364,105291,105428,106550
42;180554,178736,177003,174119,173551,164068,155652,152586,147748,147575,147316,145848,144228,141535,139712,137229,135725,135568,134216,128051,125695,124887,123793,123781,120157,116999,116998,113495,112482,110853,106888,105916,102836,100948,97893,135842,135839,106661,106635,95927,94307,94250,106559
43;184459,183630,183628,168958,142038,136150,125948,112051,142086,105232,105112,104872,98631,96212,96206
44;174613,150571,136644,120835,114389,112957,112296,112289,104887,134781,98389,98383,98379
45;175564,175553,169993,157221,158805,148177,128170,118714,117274,109942,109731,94957
46;186574,183424,171162,155887,171952,140827,140642,140331,139742,135773,135497,131245,125191,124036,115568,109374,108338,109517,104855,97990,97822,97556,91576,91491
47;184579,184569,180551,170815,163679,178909,157087,156899,152232,178912,178882,138400,134878,135495,131637,131610,131245,122480,122476,121109,119037,112764,109271,108553,104825,97557,91790,91566,91490
48;181978,182268,164829,163175,148590,139560,141718,138414,138354,137213,137212,130635,128511,128430,125839,124226,119912,119906,118397,107847,106692,104951,103916,103909,103495,107065,105682,105663,105661
49;185952,185951,185949,185842,185766,185025,180677,175905,175491,171067,169909,170764,169400,168541,168354,167353,157378,155282,153545,150153,149863,148991,148441,143107,142771,142673,140873,140589,137968,137050,137048,136105,134584,134554,134501,132538,132503,132261,131786,128997,127559,126768,125898,125888,122854,122831,122652,119942,119883,119881,119816,119775,118515,118483,117589,116832,116779,116239,115849,113973,116226,115129,113955,113390,113386,113260,112904,112666,112538,112324,112287,112099,110483,107431,107219,107060,107046,106071,105848,105845,105842,105838,105833,105552,105542,104163,102964,106229,106089,106083,94252,94243,95496,93804,93716,93062,92783,92773,92747,92668,117055,117054,117053,107763,107679,116929
50;186894,185842,180690,181748,156235,155900,146461,140582,137736,137457,127915,127012,121092,117854,116753,115847,115390,111911,111212,106353,104783,104178,106389,106184,94243,93906,92668,107769,107713,107738
51;174625,156808,128977,128408,109714
52;184446,183875,184151,184150,174160,172261,172159,171238,184462,166616,165907,165879,165418,165417,165411,165345,184465,156999,155736,155729,154174,154056,154052,148176,145837,145692,145654,145637,145288,145068,141787,141786,142224,142176,142169,141963,141949,141788,141784,141780,141777,141730,141728,137768,137767,137764,137762,137550,137497,137322,137231,137226,131275,131270,130025,128198,125996,125844,125757,125736,125735,122644,122426,122420,122414,122392,122388,116437,116436,116417,116416,116171,115317,115311,114969,114968,114966,114964,113065,113054,108610,108602,108601,108588,107309,107308,107307,107127,107126,107125,107124,107121,107120,107118,107116,103833,103825,103821,103820,105719,103744,103741,103723,103677,103674,103671,103670,103644,103643,103642,103641,103639,103628,103624,103618,102324,102167,102135,100785,100784,100783,101029,101021,101019,100973,100968,100967,100950,100945,100944,99806,99774,99724,95029
53;142363,128228,117615,107349,106712,101638,99878,100377,99854,98166,98138,105756,105572,105579,171617
