author_id;publication_id
1;166774,136300
2;183808,183238,179416,180284,176071,174756,173153,172272,168798,169632,167212,148407,139287,122319
4;171087
5;177380,177011,176792,176791,176504,173149,171971,163087,171489,140634,115055,110893
6;168825
7;185662,149879,128919
8;176679,175406,168734
9;180782
10;178938,174752,167267,123634,115037,115035,109019
11;162396
12;151496,122198,151497
13;172146,157082,154903,154874,151373,150683,142413,139162,130661,119576,119574,118293,113911,112827,112136
14;113266
15;184535,184629,122536,122533,109486
16;184892,184632,182798,182242,174809,174659,174640,169892,163311,160373,161635,155224,171254,151422,149209,149208,147830
18;186316,184755,182007,180886,180423,177691,177673,177568,177548,170083,168303,164802,156287,155697,134796,112706
19;170202,164641,160345,147830,130897,130571,124758
20;163246,160261
21;185046,184936,176493,176411,176407,172057,173072,170316,170016,169983,169657,169656,169654,167772,160877,149576,149512,149036,146866,146857,146511,138765,136284,132317,129296,126024,122671,118448,113799,107862,107830,107829
23;181700,181699,179431,178088,175234,170970,170916,153619,145417,144653,113006
25;170389,153176
26;172223
27;170393,164140,154279,153176,114820
28;132427,118246,178079
29;110405
30;115740,101013
31;164171,116251
32;164171,144269,103474
34;173177,154003,152046,151375,150168,152040,110604,110140
36;184289,180025,175291,174592,169544,167130,166124,139657,132915,132446,119411,119368
37;185625,185522,184027,181826,168855,168860,165074,149133,124110,117922,117096,115404,113655,108420,108413,101774
38;176818,176504,176345,176264,171410,168997,168747,168744,167811,165377,122339,114813,110891,110345
39;185021,175295,174208,170819,169545,167082,167081,167051,166143,166076,164821,139691,138172,136055,141285,132809,128105,128104,119338,115199,113554,112804,112520,112484,98752
40;177380,176768,134262,117561,115399,115397,114371,111290,109116,106818
41;123518
42;186026,184609,184603,172941,165027,162630,143802,143640,143631,142036,137077,135899,116996,115619,122926,105633,105627,97952,94304
43;185168,175243,174433,166110,153116,150959,142036,142039,116312,112049
44;183515,172610,144625,135587,134741,126568,120834,113724,98386,98381
45;183131,180962,175566,169205,149382,141438,138395,138394,128724,117864,117749
46;180938,180412,180361,182217,180942,171163,168249,166115,163929,157305,155783,146110,142155,139743,110518,109372
47;184846,179485,175739,175473,178949,178948,178892,178890,170814,168788,168628,168252,168241,157305,178886,178884,178883,178879,131249,131153,109514
48;179664,182267,182266,178316,176572,176564,174577,173263,173018,167377,156105,156042,153106,130140,119910,103914,103494
49;185950,185769,185093,183685,180528,179570,179384,171783,171322,169412,168634,168539,168351,165223,164541,160486,149023,148442,137049,133291,128922,120427,120014,119647,119528,112665,112040,108043,107432,107086,106626,105555,105259,104428,117245,93740,93733,93720,92564,117061
50;187209,181076,171231,170401,165223,185792,131499,112320,107659,106457,107703
51;185500,173744,171169,149474,119208,109713,109654
52;184837,183891,183864,183091,177852,174159,173634,173630,172390,172109,171240,165954,165906,165904,165903,165884,165416,165415,156228,154055,154053,153869,153866,151299,151294,148377,148027,147403,142175,141789,141764,141738,140479,139992,137748,137495,137321,137314,137230,131272,129950,129943,126257,125973,125792,122409,122391,116438,115299,114864,113067,108603,107302,107300,107128,107119,107117,103822,100932,100972,99835,99831
53;182793,148146,162806,147997,134445,131499
54;180531,172719,157275,156979,153323,152310,144738,142255,138234,129295,129125,129123,128983,126869,126805,126802,125061,118486,118129,117988,111403,110030,107110,101826,100853,100852,115070
55;128493,128061,122902,122898,118189,93041
56;182819,185142,183882,181738,181517,175302,174295,174194,174192,174164,174162,172843,172813,172698,173824,169948,169862,169861,167891,165321,165308,164878,164875,153864,153835,158352,148468,147136,140014,163478,158602,117953,117952,117945,92703
57;174436,169757,164990,164988,146872,145602,140435,129853
58;184372,181231,181225,180036,174524,174237,174236,173141,171522,169778,168610,152212,148864,145605,142121,139333,136423,129846,128225,127716,118467,114880,110753,110700,107459
59;186613,184689,183584,183574,182177,182175,181697,181669,181052,180988,178819,178727,178088,177392,177391,176380,175235,175234,175230,174865,172166,170975,170974,170969,170537,170536,170223,170178,169620,166389,166387,165419,164783,163316,154901,155275,152218,151653,150020,147712,145586,145408,145097,142124,141310,138199,137453,137366,137082,134894,129870,129390,129389,129388,126993,126978,122074,118898,134171,112860,110990,110038,109163,109162,109148,108031,106975,103303,103299
60;184884,182961,182587,182582,181202,181182,173125,172716,172715,171832,170515,165001,164996,164206,162985,161330,155760,152230,145395,149986,149985,140596,132800,122396,114201,105983,103684,98156
61;175925,175292,173360,170254,157003,154865,154863,144789,135330,132101,127045,119817,117966,91431
62;181494,156824,128781
63;173200,148863,139966,139862,139784,138812,131063,130587,100937
64;175584,175583,168172,156803,138396,112271
65;119293
66;186970,139555,138482,138112,121873,108249
67;183213,172268,135953,135950,126348,113630
68;184112,180020,175946,175927,175926,174121,168324,166878,165146,156181,155846,149350,148934,148884,146483,142766,130524,143165,142782,143170,142781,142780,104513,104489
69;177284,173357,173269,129437,119704,115857,110688,109312,99835,99831,99762
70;145486,126345,102431,102304,100823
71;183436,180560,180559,171960,170516,160717,150715,148881,147602,131385,116523,135344,100586
72;181247,141440,117864,110389
73;176111,176095,174457,134844
74;184892,182804,182798,179664,177952,174809,174659,174656,174640,174577,174408,173237,172177,170183,169892,167377,166332,163311,160373,161635,155224,171254,151422,149209,149208,147830,138608,171249,130775,130194,127965
75;184826,174324,174321,172858,172707,168197,166717,160559,160557,157167,152758,151288,151287,149311,147526,145308,141454,140199,138628,128184,136765,131350,131147,131146,131145,131144,131141,127176,126485,126484,165785,123342,120023,119834,119121,127616,107019,101527
76;186814,184882,182961,182579,181202,181200,179433,176840,170954,164954,136892,127781,121840,134158,111945,111070,98156
77;185168,184850,182324,180880,176717,176584,168623,166110,164492,164162,177637,149851,144474
78;181201,155097,176009,170555,166646,166619,166618,165006,163248,162639,162638,153618,138499,138426,135185,129664,118478,116085,109490,107947,109088,106933,103276,111114,111113,115131,113925
79;180092,178952,176616,176615,168382,166895,144324,135767,127573,111964,106442,106312,103874
80;168593,168248,168245,168230,168229,168226,167588,167131,163308,154526,153203,151803,143003,142932,128185,126463,160614,143054,127418,122055,135155,111598,105230,104692,104930
81;160373,149208,144665,131876,120800,113180,104656
82;155870,162444,147173,125470,122316,121771,121755,121007,119143,118965,118740,118739,110012,103815,100580,99799
83;180847,180827,176468,171889,153603,148422,149880,148420,148170,138394,138387,136114,128718,128160,126324,121779,121777,119203,116068,112924,108660
84;164661,139959,128594,128498,128001,126850,126844,122336,117950
85;185625,185522,184027,183369,179807,176537,171904,167007,165074,155689,153409,149068,146793,140367,138948,117900,113655,113642,101774,101598
86;165168,147243,146902,129630,134425,134374,134421,96399,91831
87;180045,170421,170888,167979,165316,155332,149850,149847,155295,148961,143587,120627,119483,116220,101598
88;186568,186052,184481,174841,172199,171912
89;186317,186309,185089,175770,175242,175221,175217,168414,167948,163750,153686,144693,139367,142069,142068,140402,139091,135248,130896,129642,128469,121347,120994,118954,116505,116504,113266,112291,107034,102259,96330,95390,95387
90;184469,173354,156228,137748,163505,99835,99831
91;185168,166960,168896,168895,166272,164436,162594,162561,147757,139449,124903,123313,103835
92;184364,184252,184207,183958,182847,182655,182653,182650,182636,182627,182558,180907,180512,185426,176460,176158,176110,176104,176100,175972,175970,175960,174862,174855,174850,174679,174675,174382,174200,172829,172750,171008,171005,171001,166725,166562,166519,166398,166396,166376,166374,166298,166297,166296,166283,164107,163567,157190,154121,153489,153478,153441,153440,153418,152871,148960,148796,146183,146061,145940,145815,145008,143829,139940,136594,137646,129242,128644,125991,123296,120967,120843,120596,120595,120589,120585,119794,119793,119616,118566,117737,115734,115733,113086,112602,109963,109953,109903,109384,109383,109380,109289,108733,108569,108568,105494,105488
93;168646,165218,164911,148089,146340,136905,131473,124997,124996,120625,120623,120495
94;180888,180552,178992,170837,169547,166330,121183,116523
95;184934,119300
96;170586,166339,147857,141959,137802,137800,126100,130109,130100,121279,121193,121183,115626,111073,111050
97;187102,181336,119300,116523
98;184934,182454,181336,170834,169186,168795
99;179134,173489,160943,156717,143919
100;164142,164126,163283,137602,130080,122349,115895,115678,114453,135771,94826,141706
101;187102,185107,183746,182030,181905,180889,179645,175281,174228,167289,168755,167281,167213,167114,164810,177710,149131,136554,136074,134262,131563,116523,114736,109699
102;186606,184983,184195,183437,183343,183123,179547,176405,173254,165407,165406,165389,165386,165380,150032,150030,135223,128197,127944,120108,113258,113250
103;137868
104;183436,183021,180560,180559,171960,170516,171349,171342,168814,167299,166752,160717,150715,148881,147602,137868,120683,101393,135344,100586
105;148409,115940,112480
106;183021,168814,100673,100733
107;185019,174993,166246,155911,145996,125573,100673,100632,100780
108;182003,176846,176597,176594,172246,171969,173208,173207,171621,171620,168589,167508,164892,152122,149825,144283,144152,95045,100725,132768
109;183067,113290,112926,100675,100673
110;169633,167592,166073,166071,166028,145276,140448,135171,135167
111;186647,185486,185485,187102,182054,176375,172521,170180,165107,154626,154379,154370,152373,142668,141981,124242,123776,135539
112;185107,183746,183646,182030,181593,181506,180889,180888,180881,180552,179645,174228,167289,169644,167281,167114,166774,177710,155459,150369,143057,135437,135434,109699
113;179275,176571,169246,166139,148959,148687,144254,142353,133101,133099,142471,133092,114736,114720,114698
114;168790
116;169723
117;183324,183695,162926,160505,150150,125011,123688
118;179416,173334,182163,138623
119;187102,179214,170552,170419,168524,167249,166248,130223,123549,109702,104505
120;186603,182163
121;157360,152358,134404
123;168833,142099,113001
124;168836,153805
125;185268,184350,181908,174666,165022,116523,116106,115166,113740,113572,109764
126;185143,184030,182731,182569,182454,179416,174120,174117,173753,173449,173334,173203,173151,173055,171109,170820,169748,169652,166170,166168,161052,153433,148430,151355,151072,139287,130648,123569,122319,113180,111046,104656,104496
127;184030,183934,179416,174977,170385,169636,161969,148430,144665,139287,138454,123569,122319,120871,113175,104505
128;179807,177869,171904,165074,149068,114907,114906,108726,107024
129;149137,149136
130;181895,181894,177285,177278,177277,176086,168912,168855,169375,165074,154810,153406,149137,140931,131646,124110,113655
131;180228,180003,174442,167917,149373
132;185892,181678,181663,180003,174442,149373,137981,124131,108992,107343
133;115003
134;187365,179807,177869,177867,169375,165074,156285,156283,154810,147670,107331
135;156283,147670,140696,115003,110922,107331
136;185892,183369,176083,154899,147383,127894,101598
137;149743
138;175546,146793,127646,122445,122137
139;182236,182117,182116,179674,168855,165074,149755,149137,149136,141220,140367,113655,108420,101774
140;182116,180008,165074,149137,149136,140367,108420,101774
142;186017,180835,177368,176092,171561,164914,164896,127531,124856,122986,122721,121998,113052,109020
143;181850,177380,171502,114371,113384
144;184340,184328,184081,168496,167527,162358,117597,117561,115399,106818
145;178957,178055,165986,150535,137983,122874,111951,110336
146;176792,176791,175872,171971,148796,148517,143829,128644,125991,120589,115055
147;186674,185632,176504,175872,174655,173149,168525,163071,162332,162326,162302,162301,161000,148796,148517,148280,143829,128644,125991,122037,121780,120589,112906
148;184252,182636,182627,182558,180512,185426,176792,176791,174855,174850,174679,171971,171008,171001,166725,166562,166396,153478,153441,153440,148960,148796,148517,143829,128644,126037,125991,120967,120712,120589,118566,110345,110008
149;185632,176504,176293,175872,175871,174864,174655,174519,171614,171502,168535,167811,167403,163071,162365,161000,148796,148784,148517,148280,143829,128644,125991,120589,115232,115055
150;180921,170807,169923,164110,123398
151;179747,177579,177501,177009,171502,168584,168395,160369,137994,122371
152;179417,177583,177501,177264,177011,175871,173149,171502,168955,168395,167345,167332,166735,139891,137606,133792,116908,116401,116957,108261,107366
153;177001,171834,168575,167418,149857,149679,146808,140943,139999,132636,132639,107029,96532
154;177014,168562,134262,125869,124577,123244,117045,105918
155;183251,175195,175194,174518,172508,172212,172507,152380,149918,114152
156;180073,168834,168827,168825,168758,152714,150064,140655,138948,134341,134343,134350
158;185694,185662,162904,149879,121929,121565,120094,117771,110342
159;180836,161281
160;185696,185694,185686,185662,177001,171834,168824,168575,149857,149679,140943,140644,129011,122371,121631,121614,114432
161;184494,184159,143631,94247
162;126582,125657
163;186860,182843,180936,180929,180322,176214,174563,174352,172386,171861,171011,166669,170766,170256,170009,166813,166670,166668,166135,164773,163603,163602,162707,162608,157497,155633,150283,143630,143962,142036,138847,135175,120154,113766,122924,114278,95693
164;182413,114525,100556
165;175241,163527,162688,163564,135573,135572,100408
166;182562,172227,170387,124440,105812
168;172070,172032,166271,153117,151808,138851,114635,105461,105459
169;184662,174489,174401,170553,169955,168674,170568,142036,120118,117398,134606,113638,106470,104846
170;128349,123531,113677
171;163515,123094,113611
172;182839,180563,173048,172395,171501,170588,168612,166716,156905,152830,148996,144257,142036,135850,156595,131349,125852,117051,98635
173;175036,133954,145324
174;186901,184098,181361,180116,180115,174346,144672,112400,136381,98363,98361,171325
175;174616,168574,137465,137464,117613,112265,98363,98359
176;172346,135517,110850
177;185757,182825,174154,168665,153342,149142,154811,101088,97952,97748,94514,94298,106201
178;174286,170897,152574,135201,135200,135199,135189,135014,135188,112507
179;151778
180;186876,184449,187044,174439,174370,168971,164771,187091,187089,146649,143627,142078,142036
182;184116,184170,182759,182365,167132,171871,169395,164544,157038,154621,153996,152053,150071,150735,148859,148853,143197,137304,135132,135326,126634,122173
183;183687,166186,156160,147598,145905
184;179653,169028,164160,179652,174723,150443,148578
185;182235,146761,138680,132156,132151,116170,103531
186;182599,182559,179584,146771,146672,139112,111116,103531
187;138684,116170,103531
188;184719,184692,180268,176159,174195,173748,161184,143621,131048,103531
189;185090,124960,124217
190;179767,173732,163142
191;170485,146184,112610
192;184252,182847,175972,174862,144355,119794,119793,109963
193;182219,180984,180772,180765,178245,174895,174901,174899,174894,174728,174726,173245,172185,180768,170476,169853,169851,169260,168169,168163,167839,167807,167773,166142,142010,127071,125911,118583,111218,107960,100895
194;186908,186540,186502,184255,184249,184229,182580,181994,181991,179551,178811,176430,176428,176317,176315,175919,174273,173663,173268,169605,171332,168427,166471,166446,166254,166252,166251,166249,166027,156719,155096,153279,147275,144155,138833,138581,137858,135763,130241,128193,121307,118706,118688,118687,109937
195;182592,182591
196;186897,186737,184200,182707,182394,181360,181161,180255,179704,176916,176911,176903,176587,174578,172992,170851,166695,166689,164982,164530,164526,162642,152678,144126,143729,130582,130580,129185,129184,122673,122496
