author_id;publication_id
2;180396,173111,132363,113195,113185,113172,113155,111594,116927,116922
3;121524
4;185878,172599,162432,162351,148664,122068
5;168862,163391,171488,149878,148655,122957,122955,122096,122094,110895
6;168974,110144
7;160368,149626,121935
8;152045,151956
9;184256,180779,131656
10;174750,167268,136282,126779,126765,120689,120684,119715,118844,118831,118175,118153,118133,118131,109239,109012
11;151853,118243,121237
12;122250,120126,112141,102635,92040
13;174973,154902,151376,139166,129434,122093,122084,120590,120315,119947,119572,114027,112820,112134,103827,103636,102649,102644
14;120924,114755,111293,107557,107035,102344,102343,102172,101095,95304
15;184925,184647,141967,140541,140231,131408,127470,122522,120062,98127,98104
16;186150,182803,174210,173241,164829,164579,156096
18;177695,177549,167907,164790,177728,177725,160493,160485,155698,113041
19;164579,160263,147839,112797
20;148028,142122,142511,116527,114871,150802,150803,150769
21;176485,170011,169999,169994,169655,160876,160852,149508,149505,149500,146863,146861,146856,146509,135973,130273,129299,128391,128315,128312,126025,122264,118538,118449,118444,118442,117316,116429,113875,108736,107864,106833
23;165420,163634,145585,163244,127788,121010,120999,120956,120927,112285,112124,112092
24;100566
25;156007
26;177989
27;176601,122736,121612,119966,112969
28;111263,100338
29;162706,92191
32;176857,123640,120569,105034,102484,92859
33;121028,135174
34;152037,142414,110194,109664
35;99490,98989
36;184287,183411,182455,176294,171719,167063,166997,159213,148260,138200,124466,121179,115698,112540,109737
37;184025,153415,152354,149560,149132,149050,148906,148576,140928,133217,117924,117102,117095,117094,117093,117092,115402,115401,113804,113772,113163,112919,112915,112510,101773,101772,101758,101064,95305,108349,179662
38;177037,174329,178858,165379,164128,149878,148655,146877,136695,130996,129723,122346,122341,115945,111128,110007,109802,109447
39;183411,179054,174213,162897,150540,148230,147017,142458,142455,139824,138161,132405,124511,124507,119403,119391,119345,119324,119323,119322,116804,112540
40;169724,133917,131989,117583,115400,115395,109615,109120,109118,108446,108342,98707
41;133445,108673,106705,106715,105248,106549,105291,105302,106550
42;180554,178736,177003,173551,164068,155652,145848,134216,124887,123793,123781,120157,116998,113495,112482,106888,102836,100948,97893,135839,106661,94250,106558,106197
43;184459,183628,168958,142038,136150,125948,112051,142086,105232,105231,105112,104872,98631,96206
44;120835,114389,112957,112296,112289,104887,134781,98389,98383,98379
45;175564,175553,157221,128170,118714,117274,109942,109731,94957
46;183424,170091,155887,140331,125191,124036,115568,109374,109517,104855,97990,97822,97556
47;180551,156899,152232,178912,178882,138400,134878,122480,122476,121109,119037,112764,109271,104825,97557,91790,91566,91490
48;181978,182268,164829,138414,137213,128511,128430,119915,119906,118397,107847,106692,104951,103916,103909,103495,107065,105682,105663,105661
49;185952,185949,185842,185766,185025,180677,175905,175491,171067,169909,170764,169400,168541,167353,157378,150153,148991,142771,137968,134554,132538,132261,125898,122854,122831,122652,119942,119883,119881,119816,119775,118515,118483,117589,116832,116779,116239,115849,116226,115129,113955,113390,113386,113260,112904,112666,112538,112324,112287,110483,107219,107046,106071,105848,105845,105842,105838,105833,105552,105542,104163,102964,106229,106083,94252,94243,95496,93804,93716,93062,92783,92773,92747,92668,117055,117054,117053,107763,107679,116912
50;186894,185842,180690,181748,155900,140582,117854,116753,115390,111911,106353,104783,104178,106389,106184,94243,92668,107769,107713,107738,116912
52;184446,184150,174160,172261,184462,166616,165879,165417,155729,154174,154052,145837,145654,145068,141787,141786,142224,142169,141963,141788,137550,137497,137322,137226,125844,125736,122644,122426,122420,122392,122388,116437,116436,116416,116171,115317,115311,114969,114966,114964,113065,113054,108610,108602,108601,108588,107308,107126,107125,107124,107120,107118,107116,103833,103825,103821,103820,105719,103744,103741,103723,103674,103671,103670,103644,103642,103641,103628,103624,103618,102324,102167,102135,100784,101029,101021,101019,100968,100967,100950,100945,100944,99806,99774,99724,95029
53;117615,107349,101638,100377,99854,98166,98138,105756,105572,171617,171618
54;173105,135392,134700,128985,122294,122201,119929,119920,118498,118497,118134,118120,117992,122035,116549,111543,111401,110620,102735,101827,101821,100854,100361,115279,115069,115068,115067,115053,115018
55;121820,119244,118185
56;182393,181740,181503,174197,174183,172836,168185,166786,165217,165173,162989,155192,145307,140059,140057,159054,157620,123066,123064,119137,118224,118221,118215,117918,117912,117489,109385,109356,100934,100956,92732,92730,92592
57;176338,174245,112815,111072
58;186819,185512,181223,163249,153317,153315,159075,147357,146223,146221,145608,143859,139323,137027,136328,127238,135338,135179,135178,127922,122241,114980,111960,110754,110703,110698,107461,107460,93911
59;184763,182151,181696,175227,173722,170979,169793,169172,169142,165302,157405,154898,154251,153974,153969,152222,152221,146251,145624,145596,145587,145391,145386,141409,140217,140212,137502,137450,137368,137256,135361,133704,127770,127766,127313,127311,126984,124500,127794,125837,124653,122076,122073,119809,119808,119803,118901,117873,115903,115902,114226,134170,134169,112851,112849,112847,111301,110750,110432,110214,110045,110031,110027,110025,110024,109299,109169,109168,109166,109160,109130,107885,110913,109090,106973,106840,107338,100241,96292
60;186815,183565,180428,176379,173126,172776,172717,165137,155762,154212,154210,153616,153611,153537,146248,146247,145621,145620,145394,138085,132802,132799,127790,122486,122270,121839,121746,116528,116526,111942,111941,138084,138083,98853,98850
61;186310,157004,153013,145926,142057,121920,116546,113690,114035,113686,110415,102822,102679,102632,97791,93296,91608
62;169444,156825,123574,119437,119436
63;156845,147764,147147,138532,131246,122992,120344,118109,118099,118093,112045,106866
64;184807,180081,112276,104049,104047,102066,92022
65;119280,119275,119189,117318,108876
